,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
425,Ryotsu,92,JP,1538246682,100,38.08,138.43,65.98399999999998,11.868435719999999
377,Nikita,24,UA,1538246667,100,44.52,34.24,59.50399999999996,3.1941008699999998
184,Zhigansk,44,RU,1538246608,100,66.77,123.37,33.67399999999998,2.0591411699999997
396,Dakar,44,SN,1538246555,100,14.69,-17.45,80.47399999999999,6.68004852
92,Sorland,92,NO,1538246579,100,67.67,12.69,48.88399999999996,15.111177719999999
93,Buala,44,SB,1538246579,100,-8.15,159.59,78.31400000000002,2.62662102
534,Buchanan,92,LR,1538246718,100,5.88,-10.05,77.41400000000004,5.30188317
471,Namatanai,0,PG,1538246697,100,-3.66,152.44,81.73399999999998,11.21988732
96,Clyde River,56,CA,1538246580,100,70.47,-68.59,24.583999999999946,3.7615807199999995
412,Ahipara,0,NZ,1538246678,100,-35.17,173.16,40.87399999999997,2.70768957
388,Trat,32,TH,1538246671,100,12.25,102.51,79.66400000000004,1.24845567
101,San Andres,48,PH,1538246582,100,13.32,122.68,82.094,8.78783082
479,Necochea,100,AR,1538246699,100,-38.55,-58.74,56.26399999999995,14.867972069999999
504,Hasaki,75,JP,1538244480,100,35.73,140.83,64.39999999999992,3.4048791
503,Dabhol,68,IN,1538246708,100,17.6,73.17,78.31400000000002,0.35670162
233,Zalantun,56,CN,1538246624,100,48.0,122.72,47.62399999999997,3.51837507
108,Meulaboh,80,ID,1538246584,100,4.14,96.13,77.594,3.1941008699999998
185,Namsos,92,NO,1538246609,100,64.47,11.51,44.113999999999976,8.70676227
87,Atuona,0,PF,1538246578,100,-9.8,-139.03,79.48399999999998,8.05821387
237,Maroantsetra,88,MG,1538246625,100,-15.43,49.74,66.70400000000001,3.43730652
529,Angoche,0,MZ,1538246716,100,-16.23,39.91,78.31400000000002,6.761117069999999
192,Naifaru,80,MV,1538246175,100,5.44,73.37,83.084,12.11164137
71,Aguadilla,75,PR,1538243400,100,18.43,-67.15,82.39999999999992,13.295242199999999
283,Umba,8,RU,1538246639,100,66.69,34.34,39.43399999999997,9.193173569999999
80,Barrow,100,AR,1538246576,100,-38.31,-60.23,55.00399999999996,7.733939669999999
285,Luganville,100,VU,1538246640,100,-15.51,167.18,77.594,16.002931769999996
239,Vanimo,48,PG,1538246625,100,-2.67,141.3,81.464,7.2475283699999995
66,Isangel,92,VU,1538246571,100,-19.55,169.27,71.20400000000001,11.46309297
65,Kavaratti,24,IN,1538246571,100,10.57,72.64,81.55400000000003,6.27470577
64,Busselton,68,AU,1538246570,100,-33.64,115.35,56.89400000000006,11.706298619999998
288,Berlevag,48,NO,1538246641,100,70.86,29.09,35.563999999999965,11.868435719999999
281,Ratnagiri,76,IN,1538246639,100,16.98,73.3,78.584,3.03196377
84,Padang,68,ID,1538246577,100,-0.92,100.36,79.30400000000003,3.3562379699999996
85,Qaanaaq,36,GL,1538246577,100,77.48,-69.36,19.903999999999996,4.08585492
290,Kavieng,12,PG,1538246642,100,-2.57,150.8,83.44400000000002,4.734403319999999
280,Port Lincoln,8,AU,1538246638,100,-34.72,135.86,50.863999999999976,9.51744777
109,Hambantota,92,LK,1538246584,100,6.12,81.12,74.80400000000003,3.92371782
37,Rikitea,12,PF,1538246561,100,-23.12,-134.97,72.01399999999995,8.139282419999999
440,Ternate,20,PH,1538244000,100,14.29,120.72,80.59999999999997,5.545088819999999
311,Sabancuy,0,MX,1538246648,100,18.97,-91.18,84.43399999999991,5.950431569999999
405,Banda Aceh,68,ID,1538246591,100,5.56,95.32,75.88399999999996,1.4105927699999998
132,Iqaluit,90,CA,1538244660,100,63.75,-68.52,33.799999999999955,1.621371
14,Butaritari,36,KI,1538246553,100,3.07,172.79,84.70400000000001,0.9241814699999998
247,Lata,0,IN,1538246628,100,30.78,78.62,47.17399999999998,1.24845567
495,Whitianga,0,NZ,1538246705,100,-36.83,175.7,54.464,2.54555247
11,Faanui,92,PF,1538246552,100,-16.48,-151.75,76.60399999999998,5.22081462
330,Port Blair,0,IN,1538246654,100,11.67,92.75,83.62399999999997,2.30234682
128,Severo-Kurilsk,36,RU,1538246425,100,50.68,156.12,46.18399999999997,6.27470577
140,Tuatapere,44,NZ,1538246594,100,-46.13,167.69,44.833999999999946,5.05867752
142,Kudahuvadhoo,56,MV,1538246594,100,2.67,72.89,83.62399999999997,10.895613119999998
253,Lorengau,0,PG,1538246629,100,-2.02,147.27,82.99400000000009,6.8421856199999995
4,Castro,44,CL,1538246550,100,-42.48,-73.76,43.033999999999935,5.22081462
254,Fare,88,PF,1538246629,100,-16.7,-151.02,75.97399999999999,4.9776089699999995
156,Sorong,12,ID,1538246599,100,-0.86,131.25,81.28399999999993,7.733939669999999
229,Haimen,0,CN,1538246622,100,31.87,121.18,66.79400000000004,9.193173569999999
521,Samarai,88,PG,1538246713,100,-10.62,150.67,76.15400000000005,11.94950427
264,Dunedin,92,NZ,1538246589,100,-45.87,170.5,43.84400000000005,2.54555247
122,Tiksi,88,RU,1538246588,100,71.64,128.87,30.97399999999999,2.30234682
480,Alice Town,12,BS,1538246700,100,25.72,-79.3,84.70400000000001,12.92232687
468,Bilibino,92,RU,1538246695,100,68.06,166.44,34.483999999999924,3.03196377
31,Hithadhoo,92,MV,1538246559,100,-0.6,73.08,81.464,7.733939669999999
360,Yar-Sale,92,RU,1538246663,100,66.83,70.83,43.573999999999955,14.381560769999998
170,Mabiton,36,PH,1538246445,100,12.83,123.26,81.28399999999993,7.571802569999999
267,San Policarpo,20,PH,1538246633,100,12.18,125.51,78.40400000000005,2.4644839199999997
485,De-Kastri,100,RU,1538246701,100,51.48,140.77,48.613999999999976,5.139746069999999
212,Upernavik,64,GL,1538246617,100,72.79,-56.15,34.93399999999997,12.11164137
270,Katsuura,92,JP,1538246634,100,33.93,134.5,69.40400000000005,3.92371782
449,Omboue,80,GA,1538246690,100,-1.57,9.26,78.31400000000002,7.328596919999999
213,Hirara,8,JP,1538246617,100,24.8,125.28,81.28399999999993,22.97482707
125,Pevek,92,RU,1538246589,100,69.7,170.27,39.79400000000004,5.70722592
455,Tuy Hoa,92,VN,1538246691,99,13.08,109.3,79.57400000000001,2.54555247
174,Dingle,80,PH,1538246605,99,11.0,122.67,74.89400000000006,2.8698266699999997
427,Kisaran,12,ID,1538246683,99,2.98,99.62,76.15400000000005,1.49166132
130,Te Anau,92,NZ,1538246591,99,-45.41,167.72,38.983999999999924,1.9780726199999998
328,Marsh Harbour,56,BS,1538246654,99,26.54,-77.06,83.714,12.27377847
29,Husavik,0,CA,1538246558,99,50.56,-96.99,44.113999999999976,6.355774319999999
217,Tual,0,ID,1538246618,99,-5.67,132.75,80.20400000000001,10.895613119999998
3,Saskylakh,80,RU,1538246550,99,71.97,114.09,32.50400000000002,7.00432272
354,Micheweni,0,TZ,1538246661,99,-4.97,39.83,78.22399999999999,10.976681669999998
441,Tuyen Quang,92,VN,1538246688,99,21.82,105.22,72.55400000000003,0.19456452
104,Sinegorye,88,RU,1538246583,98,62.09,150.53,24.76400000000001,1.5727298699999999
300,Wattegama,92,LK,1538246645,98,7.35,80.68,71.29400000000004,2.14020972
487,Axim,24,GH,1538246702,98,4.87,-2.24,78.584,7.08539127
224,Burgeo,0,CA,1538246620,98,47.61,-57.61,55.00399999999996,10.32813327
512,Rocha,92,UY,1538246710,98,-34.48,-54.34,69.40400000000005,9.760653419999999
148,Oparino,92,RU,1538246596,98,59.85,48.28,40.24400000000003,4.89654042
278,Nemuro,48,JP,1538246638,98,43.32,145.57,61.214,8.544625169999998
43,Marawi,0,PH,1538246563,97,8.0,124.29,64.00399999999996,1.73486697
461,Killybegs,92,IE,1538246693,97,54.63,-8.45,53.744000000000085,13.489806719999999
214,Udachnyy,80,RU,1538246604,97,66.42,112.4,37.00400000000002,2.30234682
34,Ushuaia,90,AR,1538244000,97,-54.81,-68.31,37.39999999999998,15.8894358
413,Metro,0,ID,1538246678,97,-5.11,105.31,74.80400000000003,5.05867752
41,Khandyga,36,RU,1538246562,97,62.65,135.58,28.454000000000008,3.92371782
21,Barranca,44,PE,1538246556,97,-10.75,-77.76,62.47399999999999,6.4368428699999996
532,Bandarbeyla,8,SO,1538246717,97,9.49,50.81,77.77399999999994,15.030109169999998
9,Verkhnyaya Inta,92,RU,1538246552,97,65.99,60.32,36.55400000000003,4.329060569999999
433,Severnoye,92,RU,1538246685,97,54.09,52.54,49.42399999999998,1.81593552
143,Biak,24,ID,1538246595,97,-0.91,122.88,75.88399999999996,3.7615807199999995
33,Nabire,64,ID,1538246560,96,-3.36,135.5,68.41400000000004,1.49166132
150,Codrington,92,AU,1538246597,96,-28.95,153.24,59.23399999999998,2.70768957
141,Baruun-Urt,92,MN,1538246594,96,46.68,113.28,41.68399999999997,14.13835512
210,Ruteng,36,ID,1538246616,96,-8.61,120.46,69.31400000000002,1.8970040699999997
378,Namibe,88,AO,1538246668,96,-15.19,12.15,69.67399999999992,3.3562379699999996
496,Paamiut,64,GL,1538246705,96,61.99,-49.67,40.063999999999965,14.381560769999998
275,Palu,80,ID,1538246635,96,-0.9,119.87,67.69400000000002,1.0052500199999999
486,Pahalgam,0,IN,1538246702,96,34.03,75.33,28.09400000000005,1.32952422
460,Blagoyevo,92,RU,1538246693,96,63.37,47.92,40.783999999999935,5.382951719999999
165,Kampot,68,KH,1538246602,96,10.62,104.18,76.87399999999997,1.4105927699999998
442,Lashio,12,MM,1538246688,96,22.93,97.75,70.03399999999993,1.32952422
438,Kamenka,92,RU,1538246687,96,53.19,44.05,42.853999999999985,5.30188317
53,Mananjary,64,MG,1538246566,96,-19.16,46.8,55.81400000000002,1.5727298699999999
390,Khasan,92,RU,1538246671,96,42.43,130.64,63.01399999999995,6.355774319999999
538,Mersing,8,MY,1538246719,95,2.43,103.84,78.22399999999999,5.139746069999999
19,Kaitangata,92,NZ,1538246555,95,-46.28,169.85,44.47399999999999,2.95089522
238,Kafanchan,24,NG,1538246625,95,9.58,8.3,72.10399999999998,2.30234682
476,Koslan,92,RU,1538246699,95,63.46,48.9,40.87399999999997,5.382951719999999
418,Vostok,64,RU,1538246680,95,46.45,135.83,41.05400000000003,1.4105927699999998
359,Palmer,1,US,1538243760,95,61.6,-149.11,48.920000000000016,2.4644839199999997
337,Mitzic,76,GA,1538246656,95,0.78,11.55,74.44400000000002,1.8970040699999997
293,Baculin,8,PH,1538246642,95,7.45,126.58,77.95400000000001,5.545088819999999
370,Cockburn Town,68,TC,1538246666,95,21.46,-71.14,84.43399999999991,12.11164137
494,Majenang,56,ID,1538246705,95,-7.3,108.76,65.98399999999998,1.8970040699999997
209,Bubaque,75,GW,1538244000,94,11.28,-15.83,76.99999999999994,5.0262500999999995
392,Eyl,24,SO,1538246672,94,7.98,49.82,76.06400000000002,11.21988732
289,Hofn,24,IS,1538246641,94,64.25,-15.21,45.55400000000003,13.08446397
60,Mahebourg,75,MU,1538244000,94,-20.41,57.7,69.80000000000001,9.241814699999999
15,Victoria,75,BN,1538245800,94,5.28,115.24,80.59999999999997,4.08585492
90,San Quintin,20,PH,1538244000,94,17.54,120.52,75.19999999999999,1.621371
50,Vaini,44,IN,1538246565,94,15.34,74.49,70.93399999999991,1.5727298699999999
22,Beringovskiy,92,RU,1538246556,94,63.05,179.32,49.153999999999996,16.97575437
47,Mataura,92,NZ,1538246564,94,-46.19,168.86,43.66399999999999,2.14020972
324,Davila,20,PH,1538244000,94,18.47,120.58,75.19999999999999,1.621371
147,Bambous Virieux,75,MU,1538244000,94,-20.34,57.76,69.80000000000001,9.241814699999999
235,Kasongo-Lunda,36,CD,1538246624,94,-6.48,16.82,72.464,1.4105927699999998
318,Thayetmyo,20,MM,1538246650,94,19.32,95.18,77.50399999999996,3.59944362
113,Chokurdakh,76,RU,1538246586,94,70.62,147.9,27.55400000000003,8.30141952
466,Muyezerskiy,20,RU,1538246695,93,63.93,31.65,32.95400000000001,4.81547187
139,Anadyr,75,RU,1538244000,93,64.73,177.51,49.99999999999994,22.699194
465,Strezhevoy,90,RU,1538244000,93,60.73,77.6,42.799999999999955,9.728226
344,Shuyskoye,88,RU,1538246658,93,59.37,41.03,39.70400000000001,6.761117069999999
8,Kapaa,90,US,1538244060,93,22.08,-159.32,80.9600000000001,13.295242199999999
248,Nanortalik,64,GL,1538246628,93,60.14,-45.24,38.353999999999985,4.89654042
540,Ormara,0,PK,1538246719,93,25.21,64.64,79.03399999999993,8.382488069999999
307,Megion,90,RU,1538244000,93,61.04,76.11,42.799999999999955,9.728226
118,Aksu,0,KZ,1538244000,93,52.04,76.93,39.19999999999993,4.864113
206,Wewak,80,PG,1538246615,93,-3.55,143.63,77.32400000000001,2.4644839199999997
194,Marystown,92,CA,1538246612,93,47.17,-55.16,58.87399999999997,10.895613119999998
321,Vanavara,0,RU,1538246651,93,60.35,102.28,38.17399999999998,3.7615807199999995
286,Sur,0,OM,1538246640,93,22.57,59.53,83.62399999999997,1.4105927699999998
491,Carmen,0,PH,1538246704,92,7.2,124.8,70.48399999999998,1.5727298699999999
181,Cherskiy,92,RU,1538246608,92,68.75,161.3,34.75400000000002,5.05867752
193,Srednekolymsk,88,RU,1538246611,92,67.46,153.71,34.93399999999997,5.788294469999999
384,Mezen,88,RU,1538246670,92,65.85,44.24,39.16399999999999,3.51837507
222,Pasni,0,PK,1538246620,92,25.26,63.48,81.28399999999993,11.057750219999999
394,Tilichiki,32,RU,1538246673,92,60.47,166.1,33.583999999999946,4.65333477
26,Khatanga,44,RU,1538246557,92,71.98,102.47,38.714,9.03103647
493,Pitimbu,48,BR,1538246704,92,-7.47,-34.81,79.30400000000003,9.67958487
35,Tuktoyaktuk,90,CA,1538244000,92,69.44,-133.03,26.599999999999966,5.0262500999999995
55,Aklavik,75,CA,1538244000,92,68.22,-135.01,28.399999999999977,4.65333477
292,Richards Bay,80,ZA,1538246642,92,-28.77,32.06,64.27399999999994,5.788294469999999
114,Chumikan,0,RU,1538246586,92,54.72,135.31,40.603999999999985,4.41012912
500,Ferkessedougou,0,CI,1538246707,92,9.6,-5.2,79.93399999999991,1.0052500199999999
327,Habiganj,20,BD,1538246653,91,24.38,91.42,80.02399999999994,0.35670162
456,Sechura,8,PE,1538246692,91,-5.56,-80.82,72.28399999999993,7.733939669999999
76,Mazamari,68,PE,1538246574,91,-11.33,-74.53,70.214,1.16738712
358,Ancud,92,CL,1538246662,90,-41.87,-73.83,45.01400000000001,5.545088819999999
308,Sao Filipe,0,CV,1538246647,90,14.9,-24.5,80.47399999999999,7.2475283699999995
322,Nome,90,US,1538244900,90,30.04,-94.42,75.38000000000005,3.4048791
39,Lavrentiya,88,RU,1538246562,90,65.58,-170.99,46.363999999999976,16.327205969999998
82,Bagua Grande,20,PE,1538246576,90,-5.75,-78.44,69.67399999999992,1.32952422
313,Kaihua,0,CN,1538246649,90,29.14,118.41,56.98399999999998,2.22127827
20,Leningradskiy,68,RU,1538246556,89,69.38,178.42,42.313999999999965,13.570875269999998
207,Verkhoyansk,64,RU,1538246615,89,67.55,133.39,25.30400000000003,3.6805121699999996
362,Umm Lajj,44,SA,1538246663,89,25.02,37.27,84.61399999999998,3.3562379699999996
348,Mahina,12,ML,1538246660,89,13.76,-10.85,82.63399999999996,2.78875812
138,Daru,44,SL,1538246593,89,7.99,-10.85,78.67399999999992,5.22081462
160,Beira,0,ES,1538245800,88,43.2,-8.36,75.19999999999999,0.8106855
401,Morgan City,75,US,1538247000,88,29.7,-91.21,84.19999999999999,4.2155645999999996
522,Izumo,75,JP,1538244000,88,35.37,132.75,66.19999999999999,5.0262500999999995
196,Guangyuan,92,CN,1538246612,88,32.43,105.86,59.863999999999976,1.5727298699999999
48,Salinopolis,12,BR,1538246564,88,-0.61,-47.36,83.80400000000003,11.30095587
51,Ostrovnoy,12,RU,1538246416,88,68.05,39.51,28.18399999999997,6.68004852
472,Port-Gentil,75,GA,1538244000,88,-0.72,8.78,80.59999999999997,5.0262500999999995
258,Mount Gambier,20,AU,1538246631,88,-37.83,140.78,43.93399999999997,1.81593552
40,Mangai,0,CD,1538246562,88,-4.07,19.59,75.16400000000004,1.49166132
301,Quelimane,20,MZ,1538244000,88,-17.88,36.89,78.80000000000001,8.268992099999998
44,Chuy,48,UY,1538246563,88,-33.69,-53.46,74.44400000000002,12.598052669999998
61,Corinth,90,GR,1538245200,88,37.94,22.93,67.99999999999994,8.268992099999998
112,Muravlenko,92,RU,1538246585,88,63.79,74.5,42.403999999999996,6.923254169999999
447,Tripoli,90,GR,1538245200,88,37.51,22.37,62.599999999999966,5.8369355999999994
262,Shimoda,75,JP,1538242440,88,34.7,138.93,66.19999999999999,5.8369355999999994
420,Yeppoon,40,AU,1538245800,88,-23.13,150.74,64.39999999999992,3.4048791
97,Neiafu,90,TO,1538244000,88,-18.65,-173.98,73.39999999999992,3.4048791
453,Aviles,20,ES,1538245800,88,43.55,-5.92,64.39999999999992,5.8369355999999994
424,Merauke,0,ID,1538246682,88,-8.49,140.4,74.80400000000003,13.165532519999998
448,Ucluelet,75,CA,1538244000,87,48.94,-125.55,58.99999999999994,6.647621099999999
119,Sobolevo,0,RU,1538246587,87,54.43,31.9,35.653999999999996,4.1669234699999995
256,Klaksvik,92,FO,1538245200,87,62.23,-6.59,46.39999999999998,14.105927699999999
364,Maryville,90,US,1538245440,87,40.35,-94.87,57.02000000000004,3.4048791
245,Port Hardy,75,CA,1538244000,87,50.7,-127.42,51.799999999999955,1.621371
463,Yelatma,20,RU,1538246694,87,54.97,41.75,40.51400000000001,4.65333477
439,Kailua,40,US,1538244060,87,21.39,-157.74,82.04000000000002,5.05867752
244,Walvis Bay,0,NA,1538244000,87,-22.95,14.51,55.39999999999992,8.268992099999998
343,Port Hawkesbury,90,CA,1538244000,87,45.62,-61.36,55.39999999999992,6.647621099999999
489,Mehamn,24,NO,1538246702,87,71.03,27.85,36.37399999999997,12.679121219999999
121,Koutiala,32,ML,1538246588,87,12.39,-5.46,82.45400000000001,3.43730652
513,Bratsk,0,RU,1538244000,87,56.15,101.63,44.599999999999966,4.864113
179,Turukhansk,92,RU,1538246607,87,65.8,87.96,48.25400000000002,14.786903519999997
243,Saint George,90,GR,1538243400,87,39.45,22.34,58.99999999999994,10.052500199999999
279,Bairnsdale,36,AU,1538246638,87,-37.83,147.63,44.20400000000001,4.49119767
271,Westport,90,IE,1538244000,87,53.8,-9.52,49.99999999999994,6.647621099999999
331,Ulaangom,88,MN,1538246654,86,49.98,92.07,35.833999999999946,1.32952422
168,Djenne,68,ML,1538246603,86,13.91,-4.55,82.094,3.03196377
312,Yakeshi,12,CN,1538246648,86,49.28,120.73,36.733999999999924,4.49119767
91,Aykhal,88,RU,1538246579,86,65.95,111.51,34.84400000000005,2.22127827
336,San Juan de los Morros,76,VE,1538246656,86,9.91,-67.35,75.16400000000004,2.38341537
215,Provideniya,92,RU,1538246618,86,64.42,-173.23,48.88399999999996,18.27285117
533,Inuvik,20,CA,1538244000,86,68.36,-133.71,28.399999999999977,1.621371
478,Kondinskoye,76,RU,1538246699,86,59.65,67.41,43.84400000000005,8.382488069999999
525,Helong,0,CN,1538246714,86,25.94,116.13,62.834,3.51837507
298,Ust-Nera,92,RU,1538246644,85,64.57,143.24,21.163999999999987,3.3562379699999996
259,Airai,0,TL,1538246631,85,-8.93,125.41,60.67399999999992,1.32952422
225,Deputatskiy,76,RU,1538246621,85,69.3,139.9,22.873999999999967,2.0591411699999997
316,Emerald,8,AU,1538246650,85,-23.53,148.16,62.20400000000001,6.193637219999999
134,Talnakh,36,RU,1538246592,85,69.49,88.39,43.30400000000003,15.678657569999999
36,Port Alfred,0,ZA,1538246561,85,-33.59,26.89,63.82400000000001,9.59851632
110,Nova Olimpia,68,BR,1538246585,84,-14.8,-57.29,84.79400000000004,3.59944362
369,Chernoistochinsk,32,RU,1538246666,84,57.74,59.87,42.22399999999999,6.761117069999999
381,Zambrano,24,CO,1538246669,84,9.74,-74.82,88.03399999999993,3.51837507
189,Chegdomyn,48,RU,1538246610,84,51.13,133.04,36.01400000000001,2.30234682
403,West Bend,90,US,1538246100,84,43.43,-88.18,55.94,2.4320565
535,Waipawa,8,NZ,1538246718,84,-39.94,176.59,39.43399999999997,4.81547187
6,Hilo,75,US,1538244900,84,19.71,-155.08,80.06,9.193173569999999
541,Manzhouli,24,CN,1538246720,84,49.6,117.43,39.43399999999997,3.92371782
211,Sao Jose da Coroa Grande,68,BR,1538246616,84,-8.9,-35.15,79.844,6.68004852
161,Nam Phong,20,TH,1538244000,83,16.71,102.87,78.80000000000001,2.4320565
497,Lakhdenpokhya,64,RU,1538246706,83,61.52,30.2,42.76400000000001,9.84172197
27,Bluff,0,AU,1538246558,83,-23.58,149.07,62.56400000000002,4.734403319999999
363,Pihuamo,40,MX,1538243100,83,19.25,-103.38,78.80000000000001,4.2155645999999996
124,Freeport,75,BS,1538244000,83,26.54,-78.7,82.39999999999992,4.2155645999999996
352,Pingxiang,24,CN,1538246661,82,27.63,113.85,55.45400000000001,1.8970040699999997
163,Bethel,75,US,1538243580,82,60.79,-161.76,51.079999999999984,3.4048791
326,Coquimbo,0,CL,1538244000,82,-29.95,-71.34,60.80000000000001,8.268992099999998
451,Bonavista,88,CA,1538246690,82,48.65,-53.11,60.13399999999996,13.165532519999998
345,Naze,68,NG,1538246659,82,5.43,7.07,80.47399999999999,4.49119767
350,Cap-aux-Meules,75,CA,1538244000,82,47.38,-61.86,55.39999999999992,12.484556699999999
183,Talcahuano,75,CL,1538244000,82,-36.72,-73.12,55.39999999999992,9.241814699999999
10,Gornoye Loo,40,RU,1538244000,82,43.72,39.61,66.19999999999999,3.242742
400,Idah,8,NG,1538246675,82,7.11,6.73,82.18399999999991,2.4644839199999997
7,Cape Town,0,ZA,1538244000,82,-33.93,18.42,60.80000000000001,6.647621099999999
58,Torbay,90,CA,1538244000,82,47.66,-52.73,67.99999999999994,13.295242199999999
219,Leh,20,IN,1538246619,82,34.16,77.58,11.083999999999946,0.8431129199999999
387,Kiama,0,AU,1538244000,81,-34.67,150.86,42.799999999999955,5.8369355999999994
531,Huilong,92,CN,1538246717,81,28.89,110.18,60.22399999999999,1.5727298699999999
416,Melbourne,40,AU,1538245800,81,-37.81,144.96,46.39999999999998,1.621371
158,Nizhniy Tsasuchey,20,RU,1538246314,81,50.52,115.13,41.95400000000001,7.08539127
435,Bumba,24,CD,1538246686,81,2.18,22.47,78.22399999999999,3.6805121699999996
67,Wroclaw,0,PL,1538245800,81,51.1,17.03,42.799999999999955,0.8106855
375,Santiago,90,CL,1538244000,81,-33.44,-70.65,58.99999999999994,3.4048791
383,Sangar,44,RU,1538246669,81,63.92,127.47,29.444000000000017,2.62662102
481,Flinders,0,AU,1538244000,81,-34.58,150.85,42.799999999999955,5.8369355999999994
171,Henties Bay,0,NA,1538246604,81,-22.12,14.28,62.65400000000005,2.4644839199999997
164,Tromso,90,NO,1538245200,80,69.65,18.96,40.99999999999994,16.7001213
46,Yermakovskoye,8,RU,1538246564,80,53.28,92.4,52.30400000000003,4.08585492
187,Skibotn,90,NO,1538245200,80,69.39,20.27,40.99999999999994,16.7001213
536,Hadgaon,12,IN,1538246718,80,19.5,77.66,74.89400000000006,1.8970040699999997
385,Sitka,44,US,1538246670,80,37.17,-99.65,62.113999999999976,3.92371782
17,Georgetown,20,GY,1538246554,80,6.8,-58.16,85.15400000000005,5.46402027
346,Lucea,20,JM,1538244000,79,18.44,-78.17,85.99999999999994,16.7001213
386,Jauharabad,0,PK,1538246670,79,32.29,72.28,70.214,1.9780726199999998
397,Longyearbyen,75,NO,1538243400,79,78.22,15.63,22.999999999999943,2.4320565
249,Tuburan,20,PH,1538244000,78,10.73,123.82,80.59999999999997,2.4320565
28,Cabo San Lucas,40,MX,1538243280,78,22.89,-109.91,87.80000000000001,2.4320565
